Current_X,System_result,Sin,Cos,Ctg,Sec,Csc,Ln,Log
-5.0,-3830.548398453919,0.9589242746631385,0.28366218546322636,0.29581291553274563,3.5253200858160874,1.0428352127714058,Infinity,Infinity
-4.799999997019768,-3391396.0729849758,0.996164609096608,0.08749898047064435,0.08783586534959777,11.428704593140912,1.0038501577634547,Infinity,Infinity
-4.5999999940395355,-204660.02353645622,0.9936910029649832,-0.11215253285791457,-0.11286459525473506,-8.91642814047628,1.0063490531927852,Infinity,Infinity
-4.399999991059303,-4.878715263411259,0.951602071141746,-0.307332878486405,-0.32296365025526114,-3.2538009110022226,1.050859419421172,Infinity,Infinity
-4.199999988079071,9.61149390757569,0.8715757665692236,-0.49026083173069224,-0.5624993839152984,-2.039730558261924,1.14734718237554,Infinity,Infinity
-3.999999985098839,28.03569165388421,0.7568024855678793,-0.6536436321408476,-0.8636911804674839,-1.5298856300714625,1.3213487258166619,Infinity,Infinity
-3.7999999821186066,63.06055733859483,0.6118578767991142,-0.7909677228552882,-1.292731127354563,-1.264274092487786,1.6343664728669025,Infinity,Infinity
-3.5999999791383743,285.17088140281845,0.442520424587014,-0.8967584255658425,-2.026479176419371,-1.1151275209586278,2.2597827002748145,Infinity,Infinity
-3.399999976158142,5770.555177043627,0.25554107897656625,-0.9667981986720353,-3.7833377026661656,-1.0343420181932172,3.9132651548822115,Infinity,Infinity
-3.19999997317791,2.943737230447945E7,0.05837411665122754,-0.9982947773604692,-17.101668250074944,-1.0017081353906703,17.1308802148524,Infinity,Infinity
-2.9999999701976776,67244.83663796395,-0.1411200375639426,-0.9899924923947411,7.01525105494794,-1.010108670199156,-7.086165914226689,Infinity,Infinity
-2.7999999672174454,17.622049965712705,-0.33498818104435996,-0.9422223296868903,2.8127032026903627,-1.0613206336686054,-2.9851799454010517,Infinity,Infinity
-2.599999964237213,-21.76228100649874,-0.5155014024661937,-0.8568887349331811,1.6622432661361681,-1.1670126578078757,-1.9398589319368136,Infinity,Infinity
-2.399999961256981,-208.07101298320424,-0.6754632091200091,-0.7373936893717622,1.0916859414629494,-1.3561276892021827,-1.4804655331306589,Infinity,Infinity
-2.1999999582767487,-913.6855436238702,-0.8084964283737694,-0.5885010835222466,0.72789571217522,-1.6992322155379649,-1.2368638436800838,Infinity,Infinity
-1.9999999552965164,-4565.354041238384,-0.909297445428894,-0.4161467958983795,0.4576575002936393,-2.402998196444588,-1.0997501477949536,Infinity,Infinity
-1.7999999523162842,-60145.12807235919,-0.9738476417120342,-0.2272020482564132,0.23330348457484548,-4.401368771426879,-1.0268546712727975,Infinity,Infinity
-1.599999949336052,-2.2624456319354377E9,-0.999573604520867,-0.029199471658944414,0.029211927492764092,-34.247195006820576,-1.0004265773697951,Infinity,Infinity
-1.3999999463558197,-2971.264349120263,-0.9854497208707107,0.16996719576388358,-0.1724767810717996,5.8834882549288405,-1.0147651156838657,Infinity,Infinity
-1.1999999433755875,0.0011367162188123815,-0.9320390654489299,0.3623578072528386,-0.3887796345513735,2.759703199391094,-1.0729164013295256,Infinity,Infinity
-0.9999999403953552,0.7994295347570808,-0.841470952603368,0.5403023560237179,-0.6420927001129562,1.8508155458720645,-1.1883951512600288,-Infinity,-Infinity
-0.799999937415123,1.5699045422182676,-0.7173560472962176,0.6967067542428068,-0.9712147222690324,1.4353241071802405,-1.3940079041211042,-Infinity,-Infinity
-0.5999999344348907,6.323311233907904,-0.5646424192818144,0.8253356519305219,-1.4616961527266958,1.2116282601641224,-1.7710323664168377,-Infinity,-Infinity
-0.3999999314546585,83.54109330520001,-0.3894182791742092,0.9210610206956962,-2.3652228720461594,1.085704396918979,-2.5679328718738508,-Infinity,-Infinity
-0.19999992847442627,8598.926192757217,-0.19866926069523644,0.980066592051177,-4.933156687760687,1.020338830147352,-5.033491323723325,-Infinity,-Infinity
7.450580596923828E-8,-38589.184203696204,7.450580596923822E-8,0.9999999999999972,1.3421772799999975E7,1.0000000000000029,1.3421772800000012E7,-8.870967345649337,-12.798100597456234
0.2000000774860382,-1.9471702325682916,0.1986694067365369,0.9800665624471393,4.933152912400061,1.0203388609678599,5.033487623618559,-1.6094375250039836,-2.321927535943855
0.40000008046627045,2.3182014489221765,0.3894184164229923,0.9210609626678404,2.3652218894223274,1.0857044653195524,2.5679319668173695,-0.916290530708499,-1.3219278046666685
0.6000000834465027,1.4650062622073388,0.564642542266404,0.8253355677922357,1.4616956853435854,1.2116283836827606,1.7710319806689132,-0.5108254846884959,-0.7369653935197944
0.8000000864267349,0.6443254057586391,0.7173561511136062,0.696706647348418,0.9712144327010616,1.4353243273993153,1.3940077023771587,-0.22314344328079697,-0.3219279390280936
1.0000000894069672,-2.5797396476187835E-7,0.8414710331146836,0.5403022306347689,0.6420924896664048,1.8508159753942892,1.1883950375552743,8.940696316628327E-8,1.2898698238093915E-7
1.2000000923871994,-0.5260311513426926,0.9320391194444405,0.36235766836819105,0.3887794630167253,2.7597042571316623,1.0729163391726184,0.18232163378328453,0.2630345169059184
1.4000000953674316,-0.9675463002999797,0.9854497461977856,0.16996704892043044,0.17247662762735852,5.883493337983099,1.0147650896033558,0.33647230474080464,0.4854269254460391
1.6000000983476639,-1.3370093679877932,0.9995736001697956,-0.029199620607016367,-0.02921207663153197,-34.247020310932065,1.0004265817245794,0.47000369071302356,0.6780719937911894
1.8000001013278961,-1.6367789743714365,0.9738476078562799,-0.22720219337101769,-0.23330364169724194,-4.401365960261728,1.0268547069713392,0.587786721195393,0.8479969877689775
